incident_id,fecha_reporte,local_id,cliente_id,cliente_email,cliente_telefono,categoria,estado,prioridad,satisfaccion,descripcion
INC0001,2026-01-01,L01,C00001,cliente001@brasaland.test,+57-300-1000000,queja,abierto,baja,,Incidencia de queja en local L01
INC0002,2026-01-01,L02,C00002,cliente002@brasaland.test,+57-300-1000001,queja,abierto,media,,Incidencia de queja en local L02
INC0003,2026-01-01,L03,C00003,cliente003@brasaland.test,+57-300-1000002,queja,abierto,alta,,Incidencia de queja en local L03
INC0004,2026-01-02,L04,C00004,cliente004@brasaland.test,+57-300-1000003,queja,abierto,critica,,Incidencia de queja en local L04
INC0005,2026-01-02,L05,C00005,cliente005@brasaland.test,+57-300-1000004,queja,abierto,baja,,Incidencia de queja en local L05
INC0006,2026-01-02,L06,C00006,cliente006@brasaland.test,+57-300-1000005,queja,abierto,media,,Incidencia de queja en local L06
INC0007,2026-01-02,L07,C00007,cliente007@brasaland.test,+57-300-1000006,queja,abierto,alta,,Incidencia de queja en local L07
INC0008,2026-01-03,L08,C00008,cliente008@brasaland.test,+57-300-1000007,queja,abierto,critica,,Incidencia de queja en local L08
INC0009,2026-01-03,L09,C00009,cliente009@brasaland.test,+57-300-1000008,queja,abierto,baja,,Incidencia de queja en local L09
INC0010,2026-01-03,L10,C00010,cliente010@brasaland.test,+57-300-1000009,queja,abierto,media,,Incidencia de queja en local L10
INC0011,2026-01-03,L11,C00011,cliente011@brasaland.test,+57-300-1000010,queja,abierto,alta,,Incidencia de queja en local L11
INC0012,2026-01-04,L12,C00012,cliente012@brasaland.test,+57-300-1000011,queja,abierto,critica,,Incidencia de queja en local L12
INC0013,2026-01-04,L13,C00013,cliente013@brasaland.test,+57-300-1000012,queja,abierto,baja,,Incidencia de queja en local L13
INC0014,2026-01-04,L14,C00014,cliente014@brasaland.test,+57-300-1000013,queja,abierto,media,,Incidencia de queja en local L14
INC0015,2026-01-04,L01,C00015,cliente015@brasaland.test,+57-300-1000014,queja,abierto,alta,,Incidencia de queja en local L01
INC0016,2026-01-05,L02,C00016,cliente016@brasaland.test,+57-300-1000015,queja,abierto,critica,,Incidencia de queja en local L02
INC0017,2026-01-05,L03,C00017,cliente017@brasaland.test,+57-300-1000016,queja,abierto,baja,,Incidencia de queja en local L03
INC0018,2026-01-05,L04,C00018,cliente018@brasaland.test,+57-300-1000017,queja,abierto,media,,Incidencia de queja en local L04
INC0019,2026-01-05,L05,C00019,cliente019@brasaland.test,+57-300-1000018,queja,abierto,alta,,Incidencia de queja en local L05
INC0020,2026-01-06,L06,C00020,cliente020@brasaland.test,+57-300-1000019,queja,abierto,critica,,Incidencia de queja en local L06
INC0021,2026-01-06,L07,C00021,cliente021@brasaland.test,+57-300-1000020,queja,abierto,baja,,Incidencia de queja en local L07
INC0022,2026-01-06,L08,C00022,cliente022@brasaland.test,+57-300-1000021,queja,abierto,media,,Incidencia de queja en local L08
INC0023,2026-01-06,L09,C00023,cliente023@brasaland.test,+57-300-1000022,queja,abierto,alta,,Incidencia de queja en local L09
INC0024,2026-01-07,L10,C00024,cliente024@brasaland.test,+57-300-1000023,queja,abierto,critica,,Incidencia de queja en local L10
INC0025,2026-01-07,L11,C00025,cliente025@brasaland.test,+57-300-1000024,queja,abierto,baja,,Incidencia de queja en local L11
INC0026,2026-01-07,L12,C00026,cliente026@brasaland.test,+57-300-1000025,queja,abierto,media,,Incidencia de queja en local L12
INC0027,2026-01-07,L13,C00027,cliente027@brasaland.test,+57-300-1000026,queja,abierto,alta,,Incidencia de queja en local L13
INC0028,2026-01-08,L14,C00028,cliente028@brasaland.test,+57-300-1000027,queja,abierto,critica,,Incidencia de queja en local L14
INC0029,2026-01-08,L01,C00029,cliente029@brasaland.test,+57-300-1000028,queja,abierto,baja,,Incidencia de queja en local L01
INC0030,2026-01-08,L02,C00030,cliente030@brasaland.test,+57-300-1000029,queja,abierto,media,,Incidencia de queja en local L02
INC0031,2026-01-08,L03,C00031,cliente031@brasaland.test,+57-300-1000030,queja,abierto,alta,,Incidencia de queja en local L03
INC0032,2026-01-09,L04,C00032,cliente032@brasaland.test,+57-300-1000031,queja,abierto,critica,,Incidencia de queja en local L04
INC0033,2026-01-09,L05,C00033,cliente033@brasaland.test,+57-300-1000032,queja,abierto,baja,,Incidencia de queja en local L05
INC0034,2026-01-09,L06,C00034,cliente034@brasaland.test,+57-300-1000033,queja,cerrado,media,5,Incidencia de queja en local L06
INC0035,2026-01-09,L07,C00035,cliente035@brasaland.test,+57-300-1000034,solicitud,cerrado,alta,4,Incidencia de solicitud en local L07
INC0036,2026-01-10,L08,C00036,cliente036@brasaland.test,+57-300-1000035,solicitud,cerrado,critica,4,Incidencia de solicitud en local L08
INC0037,2026-01-10,L09,C00037,cliente037@brasaland.test,+57-300-1000036,solicitud,cerrado,baja,4,Incidencia de solicitud en local L09
INC0038,2026-01-10,L10,C00038,cliente038@brasaland.test,+57-300-1000037,solicitud,cerrado,media,5,Incidencia de solicitud en local L10
INC0039,2026-01-10,L11,C00039,cliente039@brasaland.test,+57-300-1000038,solicitud,cerrado,alta,4,Incidencia de solicitud en local L11
INC0040,2026-01-11,L12,C00040,cliente040@brasaland.test,+57-300-1000039,solicitud,cerrado,critica,4,Incidencia de solicitud en local L12
INC0041,2026-01-11,L13,C00041,cliente041@brasaland.test,+57-300-1000040,solicitud,cerrado,baja,4,Incidencia de solicitud en local L13
INC0042,2026-01-11,L14,C00042,cliente042@brasaland.test,+57-300-1000041,solicitud,cerrado,media,5,Incidencia de solicitud en local L14
INC0043,2026-01-11,L01,C00043,cliente043@brasaland.test,+57-300-1000042,solicitud,cerrado,alta,4,Incidencia de solicitud en local L01
